ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3000549,adeS,"AdeS is a sensor kinase in the AdeRS regulatory system of AdeABC. It is essential for AdeABC expression.","resistance-nodulation-cell division (RND) antibiotic efflux pump","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",287806,2163
ARO:3000553,adeR,"AdeR is a positive regulator of AdeABC efflux system. AdeR inactivation leads to susceptibility to aminoglycoside antibiotics.","resistance-nodulation-cell division (RND) antibiotic efflux pump","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",262022,1739
ARO:3000556,tet(44),"Tet44 is a tetracycline resistance gene found in Campylobacter fetus, and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",502466,1743
ARO:3000559,adeN,"AdeN is a repressor of AdeIJK, a RND-type efflux pump in Acinetobacter baumannii. Its inactivation increases expression of AdeJ.","resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",17710,97
ARO:3000561,tet(30),"Tet30 is a tetracycline efflux pump found in agrobacterium, a Gram-negative bacterium.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",186,15
ARO:3000565,tet(38),"Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA, which also regulates NorB.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1632,18
ARO:3000566,tet(39),"Tet39 is a tetracycline efflux pump found in Gram-negative bacteria, including Brevundimonas, Stenotrophomonas, Enterobacter, Alcaligenes, Acinetobacter, and Providencia.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",6562,32
ARO:3000567,tet(40),"Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",17310,20
ARO:3000569,tet(41),"Tet41 is a tetracycline efflux pump found in Serratia, a Gram-negative bacterium.  It is related to Acinetobacter Tet(39).","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1472,49
ARO:3000572,tet(42),"Tet42 is a tetracycline efflux pump found in both Gram-negative (Pseudomonas) and Gram-positive (Microbacterium, Bacillus, Staphylococcus, Paenibacillus) bacteria.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",1064,35
ARO:3000573,tet(43),"Tet(43) is a tetracycline resistance gene with unknown origins, isolated from metagenomic DNA.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",2916,110
ARO:3000578,CcrA,"This CcrA beta-lactamases is found in Bacteroides fragilis.","CcrA beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",46,6
ARO:3000582,"L1 beta-lactamase","L1 is an Ambler class B MBL; subclass B3 originally isolated from Stenotrophomonas maltophilia.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.","L1 family beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",6002,42
ARO:3000589,NDM-1,"NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.","NDM beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3000592,ErmN,"ErmN is a methyltransferase found in the tylosin producer Streptomyces fradiae. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is found in the tylosin biosynthetic cluster and is responsible for self-resistance to tylosin.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",7368,65
ARO:3000593,ErmQ,"ErmQ confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",78884,542
ARO:3000594,ErmR,"ErmR is a methyltransferase found in the erythromycin producer Aeromicrobium erythreum. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",23518,158
ARO:3000595,ErmT,"ErmT confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",5648,26
ARO:3000596,ErmX,"ErmX is a rRNA methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",3220,42
ARO:3000598,Erm(31),"Erm(31) confers a MLSb resistant phenotype. Along with erm(30), these genes are responsible for self-resistance in the pikromycin/narbomycin/methymycin/neomethymycin producer, Streptomyces venezuelae.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",20140,150
ARO:3000600,Erm(34),"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",75410,338
ARO:3000601,Erm(38),"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",616,16
ARO:3000602,Erm(39),"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",760,13
ARO:3000603,Erm(41),"Erm41 confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",4,2
ARO:3000604,Erm(35),"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",27214,156
ARO:3000605,Erm(36),"ErmD confers MLSb phenotype.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",3582,25
ARO:3000606,FEZ-1,"FEZ-1 is an Ambler class B MBL; subclass B3 first isolated from Legionella gormanii.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.","FEZ beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",3196,43
ARO:3000614,mefE,"mefE is a proton motive efflux pump in Streptococcus pneumoniae that confers resistance to macrolides. It is found on the same operon as mefA and the ABC-efflux pump mel.","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic",MLS,"antibiotic efflux",3050,46
ARO:3000616,mel,"Mel, a homolog of MsrA, is an ABC-F subfamily protein associated with macrolide resistance. It is expressed on the same operon as mefA and mefE, both MFS-type efflux proteins that confer macrolide resistance.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",261600,112
ARO:3000617,mecA,"A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.","methicillin resistant PBP2",carbapenem;cephalosporin;cephamycin;monobactam;penam,Beta-lactam,"antibiotic target replacement",121326,684
ARO:3000620,adeL,"AdeL is a regulator of AdeFGH in Acinetobacter baumannii. AdeL mutations are associated with AdeFGH overexpression and multidrug resistance.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",91266,749
ARO:3000621,"PC1 beta-lactamase (blaZ)","The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.","blaZ beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",216,7
ARO:3000656,AcrS,"AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan",Multidrug,"antibiotic efflux",36956,352
ARO:3000676,H-NS,"H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE, mdtE, and emrK as well as nearby genes of many RND-type multidrug exporters.","major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic",Multidrug,"antibiotic efflux",300,24
ARO:3000746,mepR,"MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.","multidrug and toxic compound extrusion (MATE) transporter","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",13566,55
ARO:3000753,abeM,"AbeM is an multidrug efflux pump found in Acinetobacter baumannii.","multidrug and toxic compound extrusion (MATE) transporter","acridine dye;fluoroquinolone antibiotic;triclosan",Multidrug,"antibiotic efflux",12554,97
ARO:3000768,abeS,"AbeS in an efflux pump of the SMR family of transporters found in Acinetobacter baumannii.","small multidrug resistance (SMR) antibiotic efflux pump","aminocoumarin antibiotic;macrolide antibiotic",Multidrug,"antibiotic efflux",16810,129
ARO:3000774,adeA,"AdeA is the membrane fusion protein of the multidrug efflux complex AdeABC.","resistance-nodulation-cell division (RND) antibiotic efflux pump","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",56560,155
ARO:3000775,adeB,"AdeB is the multidrug transporter of the adeABC efflux system.","resistance-nodulation-cell division (RND) antibiotic efflux pump","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",64980,405
ARO:3000777,adeF,"AdeF is the membrane fusion protein of the multidrug efflux complex AdeFGH.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",93128,505
ARO:3000778,adeG,"AdeG is the inner membrane transporter of the AdeFGH multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",145074,681
ARO:3000779,adeH,"AdeH is the outer membrane channel protein of the AdeFGH multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",38532,197
ARO:3000780,adeI,"AdeI is the membrane fusion protein of the AdeIJK multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",86216,418
ARO:3000781,adeJ,"AdeJ is a RND efflux protein that acts as the inner membrane transporter of the AdeIJK efflux complex. It has 57% identity with E. coli AcrB.","resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",121882,581
ARO:3000782,adeK,"AdeK is the outer membrane factor protein in the adeIJK multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",80018,467
ARO:3000783,cmeA,"CmeA is the membrane fusion protein of the CmeABC multidrug efflux complex.","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic",Multidrug,"antibiotic efflux",117396,489
